	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
985279670408044544	2018-04-14 22:12:33	Francis Pereira	@squallmacthorio @evaldodesousa @joaoamoedonovo @Bancointer @nubank Sim, sou cliente da @nubank e @meudigio estão m… https://t.co/gGop2dm2VE	0	0		42	26
985276013948096512	2018-04-14 21:58:01	Deni ?	@Bancointer eu te amo! Acabei de pagar R$9,70 no Bradesco só pra transferir um dinheiro pelo App. Socorro	0	0		383	844
985272800884744193	2018-04-14 21:45:15	Rodrigo de Oliveira	RT @LeandroPorttela: Feliz demais em ter esse cartão!!! Tudo grátis!!!! @SPFCBancoInter @Bancointer https://t.co/LnqML6N1UG	2	0		998	3105
985271417620123648	2018-04-14 21:39:46	Leandro Latini	@Bancointer A DM de vcs é bloqueada.	0	0		554	604
985266085900554242	2018-04-14 21:18:34	Leonsoft	@Marcoaflg @Bancointer Também Quero ??????	0	0		29	79
985265211773988864	2018-04-14 21:15:06	Carlos Gomes	RT @LeandroPorttela: Feliz demais em ter esse cartão!!! Tudo grátis!!!! @SPFCBancoInter @Bancointer https://t.co/LnqML6N1UG	2	0		28	98
985261117604810753	2018-04-14 20:58:50	William	@Bancointer Muito obrigado	0	0		1223	4904
985259538872983552	2018-04-14 20:52:33	Banco Inter	@_anaigual @ViniciusGNC Oi, Ana! Procuramos responder o mais rápido possível, sempre com um atendimento personaliza… https://t.co/FNA1RGSvmr	0	0		114737	3150
985259444408868864	2018-04-14 20:52:11	Rafael Dantas	@ViniciusGNC @Bancointer Melhor o atendimento por aqui do que pelo chat do APP	0	0		182	422
985259336883728385	2018-04-14 20:51:45	Guri da Antártica	@Bancointer @caroneiro_98 Poxa eu tenho mais de 5, só que não investi tudo no mesmo dia ?	0	0		86	629
985257419143024640	2018-04-14 20:44:08	Banco Inter	@sprenanteixeira Que ótima notícia, Renan! :) Dá próxima vez, se tiver um tempinho, tira uma foto pra gente. Você j… https://t.co/4x8cGmnt1w	0	1		114737	3150
985255517034549248	2018-04-14 20:36:35	Banco Inter	@carlosbpf Qualquer outra dúvida ou solicitação, pode contar com a gente,  Carlos!	0	0		114737	3150
985253561851416576	2018-04-14 20:28:48	Banco Inter	@caroneiro_98 @pedrososk_ Oi, pessoal! A caneta é enviada aos clientes somente quando sua primeira aplicação no Ban… https://t.co/u8US6mlocJ	0	0		114737	3150
985252930747068416	2018-04-14 20:26:18	Banco Inter	@hug0111 Neste caso orientamos que verifique com o site em que está tentando realizar a compra se está tudo ok. ;)… https://t.co/JPsRFNcPhY	0	0		114737	3150
985252004577660928	2018-04-14 20:22:37	Banco Inter	@armandoneto85 @alexcambuy Agradecemos pela parceria, Armando! Esperamos que você continue aproveitando bastante to… https://t.co/KAWevHnwsh	0	1		114737	3150
985249312186798080	2018-04-14 20:11:55	Banco Inter	@rvinicius396g Oi, Vinicius! A caneta é enviada aos clientes somente quando sua primeira aplicação no Banco Inter t… https://t.co/uq6qEqcGMU	0	0		114737	3150
985243372792307712	2018-04-14 19:48:19	Wescley Castro	@Bancointer @willoficial9 E é o menor spread que eu já vi na vida! É td perfeito nesse banco...	0	1		84	212
985240446661218307	2018-04-14 19:36:42	Banco Inter	@jotap_rios DM liberada! ;) https://t.co/4jmAwa1MgR	0	0		114737	3150
985239898419617793	2018-04-14 19:34:31	Banco Inter	"@Allanbari86 Oi Allan! Você encontra mais informações sobre nossos investimentos em nosso site ou no blog ""Conta co… https://t.co/NCL7ggcvRc"	0	0		114737	3150
985239306703917056	2018-04-14 19:32:10	Squall	@franciswesley @evaldodesousa @joaoamoedonovo Já conhece o @Bancointer e o @nubank ? Não tenho problema de taxas com eles.	0	0		259	574
985239270406451201	2018-04-14 19:32:01	Felipe Moraes	@Bancointer Boa tarde, ao tentar logar pelo app recebo a mensagem da imagem anexo, isto começou hoje. Já reinicei e… https://t.co/zE7pcZ4hFa	0	0		8	25
985238192889782273	2018-04-14 19:27:44	Banco Inter	@drebruyne Isso mesmo. Ela é enviada por e-mail e você também pode acessá-la pelo Internet Banking ou app, em Cartão &gt; Fatura. ;)	0	0		114737	3150
985237389139501057	2018-04-14 19:24:33	Banco Inter	@kldn9h Se a sua conta foi encerrada por solicitação própria, será necessário aguardar o prazo de 12 meses para ped… https://t.co/4fU2d2Q6L0	0	1		114737	3150
985231711444307968	2018-04-14 19:01:59	Erick John!	@Bancointer Kkkkkk amém!	0	0		460	3329
985231316378636288	2018-04-14 19:00:25	Banco Inter	@ErickJohn2 Conta pra todo mundo como é bom ter uma conta totalmente digital e isenta de tarifas, Erick! \0/ https://t.co/w79COMRsdU	0	1		114737	3150
985224821209550850	2018-04-14 18:34:36	Banco Inter	@willoficial9 A taxa de câmbio praticada para as operações de cartão de crédito do Banco Inter são as taxas de merc… https://t.co/JjHalR5mxF	0	1		114737	3150
985224703295000576	2018-04-14 18:34:08	Banco Inter	@willoficial9 Oi, William! A conversão é feita em dólar. O dólar utilizado para compras internacionais é o PTAX + 1… https://t.co/a37FIFhPKI	0	1		114737	3150
985223679666737152	2018-04-14 18:30:04	Banco Inter	@VitorVisuello Oi,  Vitor! É possível investir em previdência privada através da nossa IDTVM. Iremos te orientar po… https://t.co/OU8ZyXDXOF	0	0		114737	3150
985222734694240256	2018-04-14 18:26:19	Vinicius Mazzinghy	@Bancointer Tem previsão de mais ATM Inter em BH?	0	0		156	204
985222307051376641	2018-04-14 18:24:37	Banco Inter	@vinimazzinghy Ei, Vinicius! Nossa equipe irá fazer a manutenção durante a próxima semana, ok? Pode ficar tranquilo… https://t.co/MYWNIIR5e5	0	0		114737	3150
985220337695682561	2018-04-14 18:16:47	Juliano César	RT @jvitormenin: Só um banco digital e revolucionário como o @Bancointer para transformar a entrada de sua sede em uma praça moderna, com e…	64	0		153	186
985218697273987074	2018-04-14 18:10:16	Banco Inter	@ErickJohn2 Taxas, Erick? Nunca nem vi. https://t.co/nO63MBzM2e	0	1		114737	3150
985217503184998401	2018-04-14 18:05:31	Banco Inter	@DuarteHell @andrelrpagoto Ei, Duarte! Pode ficar tranquilo que nossos correntistas contam com análises de crédito… https://t.co/r7ttUDRcqB	0	0		114737	3150
985217056059609088	2018-04-14 18:03:45	Renan Teixeira	@bancointer &lt;3 Contas digitais | Quais são os benefícios e qual eu utilizo | Você MAIS ... https://t.co/jO5BjGOnyg #VocêMaisRico	0	0		244	178
985215752683819010	2018-04-14 17:58:34	Banco Inter	@Julianaherreira Oi, Juliana! Depósitos via boleto são creditados em até 2 dias úteis (D+2). Para os clientes parce… https://t.co/C0bWYD26iB	0	0		114737	3150
985215061080801281	2018-04-14 17:55:49	Banco Inter	@queromaisumrole Oi, Pablo! Depósitos via boleto são creditados em até 2 dias úteis (D+2). Para os clientes parceir… https://t.co/9GLJwTGiBu	0	0		114737	3150
985214158378545159	2018-04-14 17:52:14	Banco Inter	@andspfc Oi! Tivemos uma inconsistência temporária, mas que já foi corrigida por nossa equipe. https://t.co/4flpDyupLs	0	1		114737	3150
985213123203358722	2018-04-14 17:48:07	Banco Inter	@Amandasmendes1 Oi, Amanda! O prazo para o recebimento do cartão é de até 15 dias úteis. ;)	0	0		114737	3150
985213016231895040	2018-04-14 17:47:42	Juupiter - O pior streamer do mundo	@Bancointer @SaoPauloFC @Bancointer Parabéns, ganharam mais um cliente tricolor, vou mandar os documentos para abrir minha conta kkkk &lt;3	0	0		22	260
985212653080666112	2018-04-14 17:46:15	Erika	"Chegou o laranjinha mais querido do Braseeeel????
@Bancointer Best Ever.
Por ele a gente até arrisca falar inglês.… https://t.co/fVmXlK5yXF"	0	1		244	112
985210056563097601	2018-04-14 17:35:56	JuuH	Se tiverem a oportunidade de migrar sua conta do @santander_br  para o @Bancointer .. FAÇAM!	0	1		177	185
985209734151200768	2018-04-14 17:34:39	aderbal	@Bancointer Como ter um cartão de Crédito do Banco Inter?	0	0		40	128
985209458308591616	2018-04-14 17:33:33	Gervasio Silveira Moura Filho	@LeandroPorttela @SPFCBancoInter @Bancointer Eu já indiquei 3 tbm... Manda pra mim tbm, @Bancointer	0	0		8	46
985208980619382784	2018-04-14 17:31:39	Banco Inter	"@gfcunha95 Oi, tudo bem? Você pode ler mais a respeito em nosso blog ""Conta com a gente"": https://t.co/O4LXVGjsMf Q… https://t.co/my5X7GV64V"	0	0		114737	3150
985207378760077317	2018-04-14 17:25:18	Banco Inter	@will_hk Oi, William! Tudo bem? Tivemos uma inconsistência temporária, que já foi corrigida por nossa equipe. Tente… https://t.co/dgrxlWErnl	0	0		114737	3150
985206198659174401	2018-04-14 17:20:36	Wesley A. Paulino	@Bancointer Aaaah entendi. Obrigado ??	0	0		218	193
985206173900124160	2018-04-14 17:20:30	Banco Inter	@leandrolatini Oi, Leandro! Chama a gente por DM para verificarmos pra você. Vamos conversar melhor por lá. ?	0	0		114737	3150
985205146446647296	2018-04-14 17:16:25	Banco Inter	@mauricioqsjr Oi, Mauricio! As assinaturas devem ser iguais à do documento enviado para a abertura de conta. Mas po… https://t.co/uEWJ9Ki5ou	0	0		114737	3150
985204531347755008	2018-04-14 17:13:59	Victor	@Bancointer Obrigado. ??	0	0		659	20
985204408916107264	2018-04-14 17:13:29	Banco Inter	@soaresvictorx Oi, Victor! Tivemos uma inconsistência temporária que já foi corrigida por nossa equipe. Pode ficar… https://t.co/CRxqmQQnLP	0	0		114737	3150
985202284152934400	2018-04-14 17:05:03	Erick John!	@kennedycazevedo @Bancointer Deixa de chorar cara! Faz o teu!	0	0	Place(_api=<tweepy.api.API object at 0x0000022D1C732470>, id='c9f2f46c0d1b963d', url='https://api.twitter.com/1.1/geo/id/c9f2f46c0d1b963d.json', place_type='city', name='João Pessoa', full_name='João Pessoa, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1C732470>, type='Polygon', coordinates=[[[-34.9738347, -7.243257], [-34.792907, -7.243257], [-34.792907, -7.055696], [-34.9738347, -7.055696]]]), attributes={})	460	3329
985196106295533569	2018-04-14 16:40:30	Dagmar Cirino ??	@Bancointer no extrato de compras da loja, só aparece um movimento da minha compra. Vão devolver meu dinheiro, dar… https://t.co/RmvBo4RTdM	0	0		251	228
985196103640510464	2018-04-14 16:40:29	Dagmar Cirino ??	@Bancointer Como vocês não tem um sistema de identificação de duplicidade no pagamento de compra? A maquininha deu… https://t.co/SAW3qiDlQr	0	0		251	228
985195296585060352	2018-04-14 16:37:17	emerson gomes	"@Bancointer 
Estou necessitando de aumento no limite do meu cartão de crédito. Ficarei extremamente contente se pod… https://t.co/pASCSz29hV"	0	0		6	69
985192901033496580	2018-04-14 16:27:46	Guilherme Travassos	@eu_andersoon @nubank @Bancointer Avanço msm. Tentei transferir meu saldo de @TIM_AJUDA pra Tim no msm CPF e não fo… https://t.co/6ho0A9D0Tr	0	1		43	229
985191920619130880	2018-04-14 16:23:52	SrPepper	@Bancointer minha conta mei já foi aprovado mas não estou conseguindo ativar ela. Pede um código enviado pelo mail… https://t.co/YfE9zHd4Pz	0	0		293	237
985187434269986817	2018-04-14 16:06:02	Banco Inter	@GabrielleNevix Oi, Gabrielle! Compras online e internacionais só podem ser feitas na função crédito.	0	1		114737	3150
985187045218881539	2018-04-14 16:04:30	indira	@Bancointer Aí simmmm Banco moderno é outra historia. Vlw, banco inter ??	0	0		40	87
985186702502309888	2018-04-14 16:03:08	Banco Inter	@lNDlRA Oi, !ndira! Você pode entrar com contas diferentes no mesmo aparelho - é só você alterar os dados da conta… https://t.co/UTolWzeW9d	0	0		114737	3150
985186165014884353	2018-04-14 16:01:00	Gustavo	@rickfrancisco @Bradesco @Bancointer Só acho que o banco @Bancointer parace de tentar fechar as contas de Exchanges… https://t.co/9WCnF5Mlco	0	0		66	246
985185420785913856	2018-04-14 15:58:02	Dhiego Pagoto	@Bancointer Vocês poderiam criar um controle financeiro no APP de vocês, categorizando automaticamente os lançament… https://t.co/MiGlJBTbCM	0	0		122	316
985185388598824960	2018-04-14 15:57:55	Banco Inter	@kimpastro Que bom que deu tudo certo, Kim! Se precisar de algo mais, pode contar com a gente! ;)	0	0		114737	3150
985184947748114433	2018-04-14 15:56:10	David Lacerda	RT @ViniciusGNC: Se tem uma coisa que merece aplausos é o serviço que o @Bancointer faz com atendimento ao cliente no Twitter	1	0		9	10
985183956181057536	2018-04-14 15:52:13	aninha	@Bancointer oii!! bom dia!! eu depositei ontem pra minha conta no inter por meio de DOC, vai entrar como dinheiro n… https://t.co/FkMYyF753f	0	0		256	160
985182734476894210	2018-04-14 15:47:22	Banco Inter	@paulinowesley Oi, Wesley! A caneta é enviada aos clientes somente quando sua primeira aplicação no Banco Inter tem… https://t.co/UbNuQ3eFEc	0	1		114737	3150
985181866004230145	2018-04-14 15:43:55	Banco Inter	@thabarbosa86 Oi, Thais! Em breve voltaremos com essa modalidade de seguros. Fique de olho em nossas novidades. ;)	0	0		114737	3150
985178099254988801	2018-04-14 15:28:57	Banco Inter	@xdlirax Oi, Thiago! Vamos verificar pra você. Veja suas DMs.	0	0		114737	3150
985175655452200960	2018-04-14 15:19:14	Erick John!	@Bancointer Tem LCA também né!?	0	0		460	3329
985171800773615620	2018-04-14 15:03:55	Banco Inter	@rafaelreich Oi, Rafael! Aguarde esse prazo e faça uma nova solicitação. Nossa equipe te dará um retorno por e-mail, ok?	0	0		114737	3150
985171460523282436	2018-04-14 15:02:34	Jéssica	@Book_OnTheTable @Bancointer Eu tenho a nuconta tb, é q a do inter é mais parecida com conta corrente, tem mais coisa é tal  :P	0	0	Place(_api=<tweepy.api.API object at 0x0000022D1C732470>, id='68e019afec7d0ba5', url='https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', place_type='city', name='Sao Paulo', full_name='Sao Paulo, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1C732470>, type='Polygon', coordinates=[[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]), attributes={})	109	195
985170228379291648	2018-04-14 14:57:40	Mateus Frossard Papini	Estou me despedindo do meu banco antigo e agora sou @Bancointer. Recomendação do meu primo e meu amigo que trabalha… https://t.co/5EkQleR0Xr	0	0		1439	386
985167095334748160	2018-04-14 14:45:13	Daniel Baeder	"Não consigo acessar o banco inter, pelo site e pelo app.... estranho.
Alguém sabe o que está acontecendo? O site de… https://t.co/X9BBbV2rVE"	0	0		10	149
985165708911882240	2018-04-14 14:39:43	B. Pimenta	@Bancointer tinha a intenção de receber a restituição por vcs, mas no programa IRPF quando escolho o 077 como banco… https://t.co/QMYybC0azE	0	0		169	221
985164244764315648	2018-04-14 14:33:54	???	@Jeka_Naka @Bancointer Vou dar uma olhadinha, obrigado! Eu acabei de abrir a NuConta, mas ainda ta na fase beta e vou ver se gosto (:	0	0		3953	200
985163922721394688	2018-04-14 14:32:37	Flávio Passagli	#Agilzinha #BancoInter corra, e aplique seu dinheiro!!!!!	0	0		303	815
985163831679815681	2018-04-14 14:32:15	Flávio Passagli	RT @Bancointer: Caiu mesmo! Agora você financia seu imóvel com taxa lá embaixo: a partir de 10,5% ao ano. Levanta a cabeça e solicite uma p…	24	0		303	815
985163736309731328	2018-04-14 14:31:52	Daniel Paim	@Bancointer eu faço tanto por vocês! Eu só queria 100 reais (CEM REAIS) de LIMITE DE CRÉDITO, seria pedir muito? ??	0	0		108	142
985163654160158725	2018-04-14 14:31:33	tatalucha sozethe bolethata fonicha	"@Bancointer ontem fui fazer uma compra e ficava aparecendo “senha incorreta” na maquininha
tentei mudar a senha no… https://t.co/lIqcSvI35I"	0	0		1293	396
985163106627260424	2018-04-14 14:29:22	Jean	@Bancointer quando vocês vão liberar o cartão de crédito para o Apple Pay? Quero muitoooo! ?	0	0		16	48
985162481780903937	2018-04-14 14:26:53	Mi Delfito	@Bancointer se eu deixar dinheiro na conta ele irá render quanto?	0	0		125	145
985162051898273792	2018-04-14 14:25:11	Anna Wintour	paguei o boleto do @Bancointer quinta e até hj o saldo não mudou	0	0		347	250
985152041097027584	2018-04-14 13:45:24	iago	ameeeeeyyyy que o @Bancointer me liberou 1000 reais de CRÉDITO	0	2		487	412
985145998648446977	2018-04-14 13:21:23	Jordan Costa	@DicastroNetto @Marcoaflg @Bancointer Podia mandar esse presente pra mim TB, @Bancointer .	0	0		56	193
985142146012508162	2018-04-14 13:06:05	basharalassabi	@Bancointer como vcs resolvem o meu problema?	0	0		204	144
985134600375754752	2018-04-14 12:36:06	Marco Aurélio	RT @Bancointer: Você acha que gato preto dá azar? Azar mesmo é pagar tarifas bancárias. Abra já a sua conta totalmente gratuita: https://t.…	44	0		15	115
985134135562915840	2018-04-14 12:34:15	Jéssica	@eu_andersoon @nubank @Bancointer Melhores bancos da atualidade!	0	2		62	157
985133328239087621	2018-04-14 12:31:03	Jéssica	@Book_OnTheTable Conhece o @Bancointer? (Oh o jabá), é um banco digital que não tem taxa nem agência, vc resolve tu… https://t.co/hpgXyIHdqJ	0	0	Place(_api=<tweepy.api.API object at 0x0000022D1C732470>, id='68e019afec7d0ba5', url='https://api.twitter.com/1.1/geo/id/68e019afec7d0ba5.json', place_type='city', name='Sao Paulo', full_name='Sao Paulo, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1C732470>, type='Polygon', coordinates=[[[-46.826039, -24.008814], [-46.365052, -24.008814], [-46.365052, -23.356792], [-46.826039, -23.356792]]]), attributes={})	109	195
985130288715091968	2018-04-14 12:18:58	Julio #Tim Beta	"Como nao amar esse banco ??!?! 
@Bancointer, muito obrigado S2 https://t.co/MR9quFY4Dq"	0	0		4	42
985124433286320129	2018-04-14 11:55:42	Luiz Carlos Menezes	RT @Bancointer: Você acha que gato preto dá azar? Azar mesmo é pagar tarifas bancárias. Abra já a sua conta totalmente gratuita: https://t.…	44	0		17	15
985122485640327168	2018-04-14 11:47:57	Netto castro	@Marcoaflg @Bancointer @Bancointer  tbm quero esse presente	0	0	Place(_api=<tweepy.api.API object at 0x0000022D1C732470>, id='f3587bc643e7d7b8', url='https://api.twitter.com/1.1/geo/id/f3587bc643e7d7b8.json', place_type='city', name='Belém', full_name='Belém, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1C732470>, type='Polygon', coordinates=[[[-48.623684, -1.526453], [-48.295911, -1.526453], [-48.295911, -1.019406], [-48.623684, -1.019406]]]), attributes={})	9	109
985119041361674240	2018-04-14 11:34:16	Flavio Coelho	@SpinozaConserva @nesnaio @partidonovo30 @Bancointer Com esse raciocínio, devemos acreditar que o PT está ligado ao… https://t.co/XxbVhwcPKZ	0	0		5	12
985105044482805760	2018-04-14 10:38:39	Tiago Rocha ?	RT @Bancointer: Você acha que gato preto dá azar? Azar mesmo é pagar tarifas bancárias. Abra já a sua conta totalmente gratuita: https://t.…	44	0		269	399
985078942900994048	2018-04-14 08:54:56	Juliander Dziura	RT @Bancointer: Você acha que gato preto dá azar? Azar mesmo é pagar tarifas bancárias. Abra já a sua conta totalmente gratuita: https://t.…	44	0		206	123
985039935894933504	2018-04-14 06:19:56	Clederson Duarte	@Bancointer é possível reabrir uma conta encerrada?	0	0		0	11
985038814518358016	2018-04-14 06:15:29	Iury	@Bancointer amigos, estou há dois dias tentando enviar a foto do documento pois diz que está fora de foco, mas cons… https://t.co/vMp6DJZmmg	0	0		723	945
985035481976135680	2018-04-14 06:02:14	Julio Conte	@Podosfera @LeoJaime Eu não. Meu Banco é o @Bancointer 0 tarifas!! ???	0	0		328	1894
985025359476416512	2018-04-14 05:22:01	?Tiallysson Ramuz?	@Bancointer Eu vou ligar pra vocês !	0	0		152	153
985012738882719744	2018-04-14 04:31:52	Natalia Quintanilha	@Bancointer não tem necessidade de me chamar por DM, é só colocar as informações que citei no app e/ou no site	0	0		17	59
985009785497116673	2018-04-14 04:20:08	Leonsoft	@mvbonfim @Bancointer Realmente muito legal!!!!	0	0		29	79
985009318381662208	2018-04-14 04:18:16	Leonsoft	@eu_andersoon @nubank @Bancointer Também tenho os dois!!! Adoooro...	0	1		29	79
984995930658230272	2018-04-14 03:25:04	Marcio.A.S	RT @Bancointer: Você acha que gato preto dá azar? Azar mesmo é pagar tarifas bancárias. Abra já a sua conta totalmente gratuita: https://t.…	44	0		27	166
984993529628889089	2018-04-14 03:15:32	ana igual	@Bancointer @ViniciusGNC Sei não... demoram um dia inteiro pra responder e as vezes ainda deixam sem resposta. Pra… https://t.co/FuMrzPUWkW	0	0		130	120
984993114241818624	2018-04-14 03:13:53	Baruch Spinoza	@nesnaio @partidonovo30 @Bancointer Laranja de Itaú!	0	0		13	74
984989149731131392	2018-04-14 02:58:08	Vinicius	@Bancointer Meu tesouro esta com uma corretora. Tenho acoes e mais renda fixa tb.	0	0		62	89
984987424777560064	2018-04-14 02:51:16	Leandro Portela	*ps mandem um brinde 6 amigos meus fecharam conta no banco inter por minha indicação @SPFCBancoInter @Bancointer então ganho nada!!	0	2		192	96
984987237187227649	2018-04-14 02:50:32	Leandro Portela	Feliz demais em ter esse cartão!!! Tudo grátis!!!! @SPFCBancoInter @Bancointer https://t.co/LnqML6N1UG	2	15		192	96
984985835169820673	2018-04-14 02:44:57	Renan Teixeira	Hoje senti uma alegria ao ir na feira e ver várias pessoas utilizando o cartão do @Bancointer ?? Queria ter tirado foto, mas não deu tempo ?	0	2		244	178
984981037171212288	2018-04-14 02:25:53	???í¢??? gó??	RT @Bancointer: Você acha que gato preto dá azar? Azar mesmo é pagar tarifas bancárias. Abra já a sua conta totalmente gratuita: https://t.…	44	0		113	316
984979285554409473	2018-04-14 02:18:56	Roney Njunior	@Bancointer @eupantigla olha que legal amor	0	0		6	150
984979146848825344	2018-04-14 02:18:23	Roney Njunior	RT @Bancointer: Você acha que gato preto dá azar? Azar mesmo é pagar tarifas bancárias. Abra já a sua conta totalmente gratuita: https://t.…	44	0		6	150
984978981341581312	2018-04-14 02:17:43	Vinicius Batista ?Galo?	"@Bancointer Showww!!! Vcs são d+...  
estou sempre acompanhando! Tmj inter"	0	1		67	280
984978750713618432	2018-04-14 02:16:48	Roney Njunior	@Bancointer @eupantigla  olha amor	0	0		6	150
984978544790032384	2018-04-14 02:15:59	Carlos	@Bancointer O problema ja foi resolvido	0	0		89	104
984976875977084929	2018-04-14 02:09:21	Vicente Sloboda	@partidonovo30 O partido novo em conta no @Bancointer? O tom de laranja é igual...	0	0		62	103
984974169560543232	2018-04-14 01:58:36	Wanderson Andrade	@pedrososk_ @Bancointer Tamo junto, tenho CDB e LCI. E um amigo que não investiu nada, ganhou.	0	1		90	244
984972549665837056	2018-04-14 01:52:10	Guri da Antártica	@Bancointer Tenho investido em CDB e LCA e nada de receber uma caneta de brinde...	0	1		86	629
984972127962091520	2018-04-14 01:50:29	Carolinão	@brunobehnken @Bancointer Vou colocar pra trasferir automaticamente do bb pra minja conta no itaú daí.	0	0		713	476
984971653426876417	2018-04-14 01:48:36	sei la mano	@Bancointer liberei mas ainda n consigo https://t.co/cvKrELkWuM	0	0		16	435
984971501978996737	2018-04-14 01:48:00	Armando Barreto	@alexcambuy @Bancointer Sempre indico o @Bancointer para amigos e familiares. Alguns já abriram a conta e estão mui… https://t.co/TNJl0D6x4P	0	0		13	129
984971095869673472	2018-04-14 01:46:23	Carolinão	@brunobehnken @Bancointer Obrigada, migo ;3;	0	0		713	476
984967122945302528	2018-04-14 01:30:36	Vinicius Silva	@Bancointer tenho valor investido no inter e nunca recebi nada	0	0		117	65
984967032327286785	2018-04-14 01:30:14	SNAP: gabifmachado1	@GuiaBolso ixe, sou usuário antigo do GuiaBolso, hahahaha. falei de atualizar minha planilinha de investimentos, o… https://t.co/nGW3NDR89n	0	0		72	392
984964845484363778	2018-04-14 01:21:33	Lucas	@Bancointer Obg inter &lt;3	0	0		152	543
984960130516246528	2018-04-14 01:02:49	Allan Soares	RT @Bancointer: Você acha que gato preto dá azar? Azar mesmo é pagar tarifas bancárias. Abra já a sua conta totalmente gratuita: https://t.…	44	0		177	536
984959946193293313	2018-04-14 01:02:05	Bruno Behnken	@Bancointer @wetius Nada, gente! O que é bom a gente fala bem e indica o/	0	2		219	194
984959034032828416	2018-04-14 00:58:28	Maria Luisa Báez	@NaluisaCarneiro @Bancointer @fafasemtvvitter Meu niver já é dia 27 hahaha vou ficar esperando o meu aaa	0	1		18	69
984957752664576000	2018-04-14 00:53:22	tatalucha sozethe bolethata fonicha	@Bancointer alguém libere a dm por favorrrr	0	0		1293	396
984957733144354816	2018-04-14 00:53:17	Banco Inter	@jon0liveira @AyrlonnGalvao Não cobramos taxa de administração, é cobrada a taxa padrão da Bovespa de 0,3% ao ano. :)	0	2		114737	3150
984957508161851393	2018-04-14 00:52:24	Lam Bari	@NatiNovata @Bancointer Bom comentário. E achei pouquissimo intuitivo. Ainda mais se tratando de um banco de povão.	0	1		3	15
984956715568377859	2018-04-14 00:49:15	Banco Inter	@ViniciusGNC Ficamos muito felizes com sua satisfação, Vinicius! Esperamos proporcionar a você a melhor experiência… https://t.co/CA5ajTSLVU	0	2		114737	3150
984956310943911937	2018-04-14 00:47:38	Banco Inter	"@Anderson_ARL Seja bem-vindo, Anderson! ?
Precisando de qualquer coisa, #contacomagente"	0	1		114737	3150
984956141166874624	2018-04-14 00:46:58	'	@Bancointer AH PODE CRER. Só chega por email, via correio não, né?	0	0		864	282
984956013093810176	2018-04-14 00:46:27	Banco Inter	@forallkings Agradecemos pela sugestão, Lucas! Vamos encaminhar para a nossa equipe avaliar.	0	0		114737	3150
984954786146672640	2018-04-14 00:41:35	Naluisa	"@mluisabaez @Bancointer @fafasemtvvitter Eu ganhei um desse de aniver ??
Qnd chegar o de vcs cês tentam pedir"	0	0		40	38
984953960741113856	2018-04-14 00:38:18	bolsonaro rei da pescaria	@Bancointer infelizmente a tabela bovespa é facadinha, nao comprei meus fundos imobiliarios com vcs por causa disso!!	0	0		3	1
984953834261962754	2018-04-14 00:37:48	Banco Inter	"@brunobehnken @wetius Agradecemos pela parceria, indicação e preferência, Bruno! ?
#contacomagente https://t.co/QaPmBLLAPi"	0	2		114737	3150
984951336918769664	2018-04-14 00:27:52	Banco Inter	@Felbiten Agradecemos pela indicação, Felipe! #contacomagente	0	0		114737	3150
984951031816650752	2018-04-14 00:26:40	Amanda	@Bancointer  com quanto tempo chega o cartão? https://t.co/KWsRobiBz4	0	0		219	203
984950860206747648	2018-04-14 00:25:59	Jonnathan Oliveira	@AyrlonnGalvao @Bancointer Parte mais importante.	0	0		47	70
984950604194828293	2018-04-14 00:24:58	Banco Inter	@ZatoTecnologia Ei, Leonardo! Atualmente, não temos um app específico para a Conta PRO, mas já está em nosso planej… https://t.co/FF1F4fkbNq	0	0		114737	3150
984950313416380421	2018-04-14 00:23:48	Banco Inter	@RMaxmiliano Ficamos felizes em saber que você está conosco nessa jornada rumo a revolução bancária! #contacomagente sempre que precisar :)	0	1		114737	3150
984950276904964098	2018-04-14 00:23:40	Junior Gomes	@eiransimis @neilson_faria @BruceBarbosa88 @Bancointer Pois e,mais o chat e ruim...rsrs vai vendo.	0	1		5	49
984949894891876352	2018-04-14 00:22:09	Banco Inter	@rvinicius396g Ei, Vinicius! Esse é o manual de boas-vindas que é enviado para os nossos clientes investidores junto com a caneta :)	0	0		114737	3150
984949848054161409	2018-04-14 00:21:57	Eiran Simis??	@minhavidajunior @neilson_faria @BruceBarbosa88 @Bancointer Além disso que mencionou, o tesouro direto tem taxa zer… https://t.co/yrKtoVDGUB	0	3		329	217
984949568734482433	2018-04-14 00:20:51	Oseas Jr	@nadanovonofront Por isso sou @Bancointer!	0	0		101	194
